,Subj,Narrative,가장 비중이 높은 토픽
0,1,"  청년기에는 사람들과 어울리기 좋아하고 활발하며 적극적인 성격이었지만 아이를 낳고 퇴사를 한 후 소극적으로 변했습니다. 소극적이고 타인과 어울리지 않는 성격으로 변하게 된 가장 결정적인 사건은 아이 친구 엄마들과의 일인 것 같습니다.     아이가 입학한 후 1년 동안 반대표를 하면서 엄마들과 잘 어울렸습니다. 하지만 친구들과 함께 팀 수업을 하고 난 후 동네 엄마들은 갑자기 연락을 두절하고 만나주지 않았습니다. 처음에는 바빠서 그런가보다, 라고 생각했지만 우연히 저와 아이를 제외한 나머지 사람들만 어울린다는 사실을 알게 되었습니다. 아마도 아이가 산만해서 수업 분위기를 흐리기 때문이었겠죠.     한동안 대인기피증에 걸려 누구와도 연락하지 않고 한참을 혼자 지냈습니다. 카운셀링을 받기도 했지만 과거를 떠올리면 떠올릴수록 오히려 엄마와 사이만 안좋아질 뿐, 좋은 영향이 없어 그만두었습니다. 다행이 친구들의 도움을 받아 이제는 힘든 시간을 극복하고 조금씩 예전부터 하던 일을 하는 중입니다.     이 경험을 통해 타인의 시선에 의존하지 않고 혼자 중심을 잡는 것이 가장 중요하다는 사실을 깨달았으며, 그로 인해 인문학을 다시 공부하며 세상에 대한 시선을 넓혀가려고 시도 중입니다. 아직은 여전히 가끔 외롭고 힘들기도 하지만 자아가 더 성숙해지면 보다 단단한 사람이 될 수 있을 것이라 믿습니다.  ",1.0
1,2,"유치원 시절 배가 고프다는 생각을 하면서 길을 걷는데 유치원 친구 어머니가 반갑게 불러주시면서 밥먹고 가라고 해서 행복하고 감사했던 경험에서부터, 이후에 성인이 된 이후로 돈이 갑자기 필요한데 하루이틀 고민하고 있으면 뜻하지 않은 수입이 생기거나 누군가 도와주는 경험 등 종교에서 말하는 절대자 처럼 누군가가 나의 고민을 들어주고 있을 수 있다는 생각을 하게됐습니다. 이러한 경험이 발전되면서 사람들 개개인이 이미 우주 만물의 모든 것을 알고 있는 소우주 이지만 그러한 능력이 사회를 구성하는데에는 굳이 발현시킬 필요가 없으므로 모두가 스스로의 능력을 제약하여 사회를 이루게 되었다는 소우주론을 믿고 있습니다. 소우주론을 사실로 받아들이면 내가 혼자 생각하거나 남몰래 행동하는 일들이 이미 다른 모두가 알고 있고 공유하거나 지금의 과학기술로는 알 수 없지만 어떠한 형태로든 기록되고 있을수도 있다고 생각합니다. 나에게 남아 있는 개인적, 사회적인 행동이 내 몸에 어떤 형태로든 기록되어 DNA와 같은 형태로 유전이 되는 것도 가능할법한 일이라고 생각했습니다. 이러한 운영체제에 기반하여 행동하다보니 굳이 남에게 겉으로만 잘보이기 위한 시간을 들이는 노력, 좋은 차, 좋은 옷, 좋은 집에 대한 가치를 평가절하하게 되었고 인류 공영을 위해 그나마 도움이 될 가능성이 높은 연구자가 되야겠다고 생각했습니다. 또한, 내가 행동하고 있는 다소 유치하지만 개인의 욕구를 충족시키기 위한 일반적인 먹고, 자고, 숨쉬는 다양한 행위들을 다른 모든 사람이 본다고 하더라도(물론 당연히 보고싶어하지 않겠지만) 부끄럽지 않을 것 같다는 생각이 듭니다. 사회적인 도덕 규범에 어긋나는 일을 아무도 몰래 행하고 싶어도 DNA류의 저장매체에 저장되어 자식에게 전달되거나 어떻게든 기록되어 후세에 모두 까발려질 것이라면 꼭 행해야 할 때에는 부끄럼없이 밀고 나가고 하지 말아야 할것은 하지 않게되는 명료한 가치 판단의 결정 체계를 성립하게 되었습니다.",1.0
2,3,"디즈니의 1951년작 이상한 나라의 앨리스를 어릴때부터 정말 좋아했다.  작아진 앨리스가 말하는 꽃들이 있는 정원에 들어가게 되고 그들과 즐겁게 어울리는   장면이 있었다. 앨리스와 함께 놀던 꽃들은 곧 그녀의 생김새가 꽃이 아닌것 같다며 수근거리고  자신은 꽃이 아니라는 앨리스의 말에 잡초라며 쫓아낸다. 물세례를 맞고 화를내며 자신이  다시 커졌을땐 꽃들을 다 꺾어버릴거라고 화내는 앨리스가 나오던 그 장면이 현재 나의 모습에   이르게 된 결정적 경험이 무엇인지 생각했을때 가장 빠르게 설명할수 있는 예시인거 같다.   딱히 엄청난 사건이나 경험을 한건 아니지만 - 좀 더 자세하게 서술하자면, 중학생 시절 경험한  일을 말할수 있을거 같다. 그때의 우리 반 아이들은 적극적으로 감정적인 모습을 보이는 아이나  개성이나 자기표현이 강하거나 진지한 아이가 있으면 '쿨하지 못한 오타쿠' 취급을 하며   (그때는 아무도 오타쿠라는 단어의 뜻에 대해 제대로 몰랐던 것 같다.) 배척하고 은근하게   따돌렸다. 나를 포함한 모든 아이들은 그런 분위기 안에서 나는 오타쿠가 아니라   평범한 아이라는것을 강조하듯이 최대한 감정적인 표현을 하지 않고 크게 자기 주장을 하거나   어떠한 일에도 진지한 대화를 하는일 없이 대체적으로 즐거운 분위기를 따라가는 방향으로   생활했다. 그런 분위기에 불만이 쌓여가던 어느날, 중학교 2학년의 나는 지금은 기억나지 않는   어떤 사소한 일로 센치했고 , 왠지 그날따라 자꾸 신경을 건드리던 가장 친한 친구에게 화를   냈으며 진지한 대화를 시도해 오타쿠가 되어버렸다. 친구를 잃고 무리생활에서 오는 소속감을   잃었지만 이제 딱히 무서울게 없어진 나는 좋은건 좋다 싫은건 싫다 말할수 있는 자유를 얻었고  자기 표현과 감정표현에도 적극적으로 변했다. 그건 곧 자기 자신을 좀 더 들여다 보게 만드는  기회가 되었으며, 공감과 감정 표현의 산물인 예술에 대한 관심으로 이어졌다.   오타쿠로서의 삶에 대해 굉장히 만족감을 느꼈던 나는 진작 이렇게 되었으면 좋았을텐데라  생각하며 집단안에서 멀어지지 않으려 노력했던 과거의 나를 되돌아 보게 되었다.  그러면서 더욱 더 집단생활과 그를 대변한다고 느꼈던 규율과 규칙 등에 대해 거부감을 느끼게   되었다. 그건 아직까지도 마찬가지로, 필요여부와  상관없이 반사적으로 집단생활과 서열,규칙  등에 거부감을 느끼며 개인적이고 평등한 관계안에서 이루어지는 자기표현과 규율과 규칙,   기성의 것들을 뒤바꿔 놓는 창작적 활동들에 끌린다. 다만 그 와중에도 오타쿠였던 내게   다가왔던 나와 비슷했던 친구들 때문에 사람을 멀리하게 된 계기가 아니라,   단지 집단 혐오로 끝나게 되었던것 같다. 결국 난 비슷한 성향의 사람들과만 관계를 맺으려는  성향이 강하게 생겼으며 친하지만 각자의 영역이 분명하게 존재하고 그 영역을 존중해주는   관계를 지향한다. 협동과 협력의 힘을 그다지 믿지 않는 편으로 성장한것 같다.   창작자들도 모두 성향이 다르긴 하지만 나는 이러한 경험이 내게 잠재되어 있던   기존의 것들에 대한 반항심을 불러 일으켰고, 감정과 내 자신에게 집중할수 있는 기회를   주었으며, 이것이 곧 지금 창작자로서 내가 가고 있는 길인 예술에 대한 관심과 내 모든   인간관계를, 가치관을 재정의한 시작점이라 말할수 있다.  ",0.0
3,4,"7년간 육아에 전념하다가 일을 시작했습니다.  아이가 아프면 맡길 곳이 없어 힘들것이란걸 알면서도 일단 시작 했어요.  역시나 근무 중 아이가 열이 났고 신랑도 일을 뺄 수가 없었죠.. 역시 제 몫이였습니다.이틀 결근을 하고 아픈 아이를 어린이집에 맡기며 힘들었습니다. 그러면서 일을 그만두게 되었습니다.. 근데 일을 시작하면 몸이 힘들어지니 애 아이들에게 짜증이 심해지고 더욱 힘들거라 예상을  했었어요. 막상 일을 시작해 보니 참 잘 했다는 생각을 했습니다. 저 또한 어린이집 교사로써 아이들을 사랑하며 놀아주고 하루를 보내니 지금껏 육아를 하며 저희 아이들에게 욱하고 짜능 냈던 저의 모습을 반성하게 되더군요.. 남의 새끼에게는 이렇게 예쁜 말과 표정으로 상호작용을 하면서 정작 내 새끼 키울땐  매사 짜증나고 힘들어만 했구나..그동안 놓친 부분들을 후회하기도 했어요. 그리곤 내 아이들에게 대하는 행동과 말투가 달라지기 시작했답니다. 참 좋은 변화와 자극을 받은 계기라 생각되였어요.. 일을 잠시나마 안 했다면 제가 다른 아이들에게 어떻게 행동하고 사랑해 주었었는지 잊고 살았을 수도 있어요.  그리고 좋은 사람, 여러 부류의 사람들을 많나니 더 많은 이야기와 교훈을 얻게 되어  진심으로 좋은 시간을 보냈답니다. 앞으로 또 아이들을 혼내고 윽박지르며 살아가겠지만 .. 그 전과는 달리 아이들을 이해해보려 더 많은 노력을 할 것 같아요^^",2.0
4,5,"미국으로 유학을 가기 전까지는 내 삶에 있어서 자신이 있고 노력하는 데에 따른 성과 또는 보상이 어느 정도 만족할 만큼 주어진다고 생각했다. 하지만 유학시기 초반 다른 언어와 문화에서 오는 이질감, 생각보다 낮은 학업성취도, 속 깊은 대화를 나눌 수 있는 친구의 부재 등으로 인한 우울감을 느끼기 시작했다. 유학을 가기 전까지는 난 스스로 긍정적인 사람이고 우울감을 잘 못한다고 생각해 왔다. 하지만 유학초기 저 정확히 말하면 첫 학기에서는 우울감을 느끼는 날이 많았고, 때때로 포기하고 귀국하고 싶은 생각이 들기도 하였다. 그때까지의 나는 약간 소심하고 대인관계에 있어서 먼저 다가가지 않는 소극적인 성격이었다. 하지면 한국과 달리 미국에서는 그 누구도 먼저 다가오지 않았다. 내가 먼저 행동하지 않는 이상 상황의 개선 여지가 없어 보였다. 그리하여 미국생활에 적응하고 성공적인 유학을 위해 내가 가장 먼저 해야할 것이 언어와 문화를 배우는 것이고, 일단 그 사회에 융화되면 나머지 것들은 자연스럽게 해결될 것이라고 생각하였다. 파티나 술집(Bar)에 가서 사람들과 어울리기 시작했고, 처음에는 뻘쭘하고 어색했던 상황이 점점 익숙해지면서 나는 새로운 관계를 맺기 시작했다. 난 소속감을 느끼면서 자존감이 회복됐고 우울감을 느끼는 날이 적어지기 시작했다. 이후 일정 시간이 지나서는 한국에서와 같은 내 모습을 회복하였다. 이때 내가 느낀 점은 '나란 사람은 보상 받기를 좋아하고, 어떠한 무리에서 리더가 되고 싶지는 않아도 소외되면 힘들어 하는 사람이구나'였고, 또한 아무리 힘든 시기도 지나가며 그 시기를 회상하며 '그땐 그랬었지' 하며 미소 짓는 시기가 온다는 것이다. 낯선 유학시기를 끝내고 한국에 돌아와 살고 있는 지금은 상황을 긍정적으로 해석하고 힘든 상황을 보다 덜 힘들게 받아들일 수 있는 사람이 되었고, 낯선 환경을 유연하게 받아들일 수 있게 되었다.",4.0
5,6," 저는 아이들을 가르치는 교사이자, 플루트 연주자입니다. 저는 일적인 면에서는 아이들에게 의미있는 가르침을 주는 것을 목표로 삼았고, 개인적인 면에서는 훌륭한 연주자가 되기 위하여 애썼습니다.   먼저 저는 아이들에게 좋은 교사가 되기 위하여 그림책을 공부하고 아이들과 래포를 형성하기 위해 여러 선생님들과 이야기를 나누는 모임을 갖고 있습니다. 저에게 그 모임을 함께 하자고 한 선생님은 제가 초임때부터 존경해온 경력이 30년째인 선생님이십니다. 그 선생님은 자신이 알고 있는 교육공학적 툴과, 그림책으로 아이들에게 다가가는 방법을 가르쳐주시기 위해 저 뿐만 아니라 많은 교사들, 그외에도 다양한 분야에 있는 사람들을 위해 강의를 하러 다니십니다. 저는 그 선생님과 알고 지내며 지속적인 배움을 얻고, 삶을 공유한 것을 제 인생에서 큰 행운이라고 생각합니다. 그림책을 통해 아이들의 마음을 더 잘 헤아리게 되었고, 그들을 어떻게 하면 더 도울 수 있을지 늘 생각하게 되었습니다. 1년 뒤면 떠나보낼 아이들에게 어떻게 하면 오늘도 의미있는 하루를 보내게 할 것인지를 생각하는 것이 즐거워진 것 같습니다. 그 선생님께서는 늘 그렇게 살아오셨습니다. 저는 그 선생님같은 따뜻하지만 내적으로는 단단한 교사가 되고 싶습니다. 저는 선생님과 지속적으로 만나며 삶을 살아갈 용기와 배움을 얻고, 제가 교사로서 의미있는 일을 한다고 느끼기 때문에 행복합니다.  다음으로 저는 개인적으로 악기를 17년 이상 배워왔습니다. 어릴때는 악기를 전공하고 싶을 정도로 애정이 컸습니다. 그러던 와중에 대학교 때에 유명한 대학 교수님을 만나뵙게 되었고, 그 선생님께 레슨을 받게 되었습니다. 선생님께서는 제 연주가 있을 때마다 악기를 빌려주시거나, 진심어린 조언으로 열심히 강의해주시곤 하셨는데 저는 그 모습에 매번 크게 감동을 받곤 했습니다. 오케스트라와 연주가 있는 날이었는데, 선생님이 저에게 처음으로 악기를 빌려주셨었습니다. 그런데 한 친구가 기구를 쳐서 악기에 기스가 크게 났습니다. 저는 선생님께 너무 죄송하다고 말씀드리면서 어쩔 줄을 모르는 모습을 보였는데, 선생님은 괜찮다며 연주는 잘 했냐고, 고생했다며 그냥 가져오라고 하셨습니다. 저는 너무 감동받고 또 죄송한 마음에 집에서 계속 울었습니다. 선생님은 그 이후에도 악기를 더 빌려주셨고, 음악을 배우고 싶어하는 저의 마음 하나만으로 저를 제자로 받아주시고 따뜻하게 가르쳐주시려고 애쓰셨습니다. 또 선생님의 연주 때마다 객석에서 듣는 선생님 소리는 제가 들었던 한국 연주자 중 제일 좋은 소리여서 매번 공연장에서 감동을 받았습니다. 저는 그렇게 이 선생님을 만나뵙고 나서부터, 너무 좋은 가르침을 받아 실력이 크게 늘었고 또 좋은 교사의 모습도 옆에서 지켜보면서 배우기도 했습니다. 저는 앞으로도 선생님과 함께 음악을 하면서 인생을 따뜻하고 행복하게 살아가고 싶다고 생각했습니다. 저는 이런 선생님을 알게 되고 또 이런 분께 인정을 받게된 것 자체가 너무 행복하고 행운이라고 생각하며 열심히 연습하고 있습니다.  저는 제 삶의 여러 분야에서 열심히 노력하고 있습니다. 배움에는 끝이 없다고 생각하기 때문이고, 세상에 완벽한 사람이 없듯 저도 불완전한 사람이기 때문입니다. 세상에는 제가 겸손한 자세로 끊임없이 배워도 모르는 것들이 넘쳐난다고 늘 느낍니다. 그래서 제가 관심있는 분야에서는 최대한 배우며 의미를 찾으려고 노력하며 살아가는 것에서 행복함을 느낍니다. 그게 제가 살아가는 이유라고 생각합니다. 그래서 어제의 나와 오늘의 나를 비교했을 때, 더 나아졌다면 그것으로 만족합니다. 조금씩이라도 발전했기 때문입니다. 저는 오롯이 스스로를 스스로와 비교하는 것에 늘 익숙해져 있습니다. 그래야만 스스로를 객관적으로 바라보고 나아갈 수 있기 때문입니다. 저는 이런 삶의 방식이 좋고, 제가 선택한 방식대로 최선을 다하여 살아가고 싶습니다. 감사합니다.",1.0
6,7,"나는 고등학교때 특별전형 입학을 떨어졌던 경험이 있다. 그것이 요인이 되었다고 볼 수는 없지만, 시간이 지나서 나를 되돌아보면, 대학 일반전형부터 실패하는 선택을 하지 않은 것 같다. 대학도 안전하게 합격할 수 있는 곳을 지원하였고, 여러가지 선택하는 사항이 있을 때 보수적으로 선택을 하게 되었던것 같다. (정치적 성향을 이야기 하는 것은 아니다.) 그러한 선택들이 요즘은 다소 후회가 될 때가 있다. ""그 때 좀더 공격적인 선택을 했더라면, 지금의 삶이 더 나은 삶이었을 텐데"" 라고 후회할 때가 있다. 주변 사람들은 내가 미래에 대한 불안(특별히 특정부분에 불안이 있는게 아니라, 그냥 심리적으로 불안한 상태이다.)을 이야기 할 때, 지금 충분히 잘 살고 있는데 왜 그러는지 모르겠다고 이야기하는 사람들이 많다. 물론 객관적으로는 그럴 수 도 있지만, 불안할 때도 많다. 최근에는 나이가 어느정도 되어서인지, 그러한 불안감들이 조금씩은 줄어들고는 있는 듯 하다. 다른 이들과 비교해보면, 일정 나이에서 느끼는 감정선이 남들보다 2~3년 조숙하게 나타나는 것 같다고 말해주는 선배들이 많다. 나도 그렇게 생각이 들때가 종종 있다. 내가 꼭 그렇다고 말 할수는 없지만, 나의 현재 모습의 원인(?)을 굳이 말하자면, 실패를 두려워하는 것 같고, 그러한 두려움 때문에 안전한 선택을 하고, 안전한 선택에 따른 결과를 나중에 후회하는 모습을 보이는 듯 하다.",3.0
7,8,"고등학교때 까지는 성적이 상위권 이였으나 수능점수에 만족스러운 결과를 얻지 못하였고, 집 가까운 대학으로 등록하였는데 추가 합격으로 서울 4년제에 합격하였으나 부모님의 무관심과 저의 무지로 인하여 서울 4년제에 입학을 옮기지 못하고 집 가까운 경기도권 대학으로 진학을 하였습니다.그 일이 항상 후회스러웠고, 집안 형편이 어려워 장학금 및 아르바이트를 하며 대학시절을 보냈고 맞지 않는 과를 졸업하여 취업을 하여 20대를 보냈습니다. 20대에 제가 하고싶었던 일들을(재수, 편입, 공무원 공부, 해외여행등) 돈이 부족하여 하지 못했다는 후회스러움과 친한친구들은 명문대에 입학하여 대기업에 취직하거나, 공무원공부에 합격하는등 자신감있게 사는 모습에 스스로가 많이 위축되었습니다. 고등학교때까지는 성적이 우수하여 자신감이 있었는데, 막상 좋은대를 가지 못하여 그것이 항상 콤플렉스가 되었고  아이엄마가 되어서도 출신대학이 꼬리표처럼 따라다녀서 대학을 옮기지 못한 사실이 계속 후회가 됩니다. 아마 이 부분이 제가 많이 소심해지고 당당해지지 못한 부분에 큰 영향을 차지하는것 같습니다. 현재는 아이 둘을 키우면서 일을 하는 워킹맘인데, 저의 자아실현이기 보다는 대출금등을 상환하기 위한 생계형 맞벌이이기 때문에 일하면서도 돈이 넉넉하지 못하여 아이들을 원하는 교육을 마음대로 시켜줄수 없고, 전업주부보다 아이들 케어를 완벽하게 하지 못한다는 사실에 때때로 우울함을 느낍니다. 예전친구들은 먼지역으로 시집가서 만나거나 연락하기 힘들고, 새로운 동네 엄마들은 시간적 여유가 없기 때문에 교류가 힘들어서 아이들을 케어하며 워킹맘으로 산다는것이 조금은 외롭고 지칩니다. ",2.0
8,9,"초등학교 시절부터 죽음에 대한 강렬한 두려움을 느꼈습니다. 제가 기억하는 한도 내에서 이같은 죽음에 대한 두려움은 특정한 주변인의 죽음에 대한 경험에서 나온 것은 아니었습니다. 그럼에도 불구하고 죽음에 대한 공포는 너무나 강해서 아침에 깨어나지 못할지도 모른다는 우려 때문에 잠자리에 드는 것을 저어할 정도였습니다. 어느 순간 나의 기억과 생각, 감정, 추억들이 아무것도 아닌 무로 돌아가 버릴지 모른다는 허망함과 두려움이 어린 나를 강하게 사로잡았습니다. 지금까지 나를 사로잡고 있는 종교에 대한 관심은 그 시절에서 기인하는 것 같습니다.  비록 특정 종교의 영향력으로부터는 벗어났지만 나는 아직도 스스로 상당히 종교적인 사람이라고 생각하고 있습니다. 지금도 지니고 있는 종교적 수행에 대한 지속적인 관심이 그 방증입니다.  어머니는 성과에 대한 집착이 강한 분이었습니다. 본인이 연연생 아들을 낳으면서 포기해야 했던 공부에 대한 아쉬움을 자주 피력했습니다. 어머니의 인정을 받으려면 나 역시 어떤 성과를 보여줘야 했습니다. 초등학교 시절 한번은 제대로 된 상장을 한번도 타오지 못한 시절이 있었습니다. 어머니는 아무런 성과를 내지 못한 것이 대해 나를 호되게 나무랐습니다. 나무랐다기 보다는 무시했다는 표현이 더 정확할지 모르겠습니다. 이 사건 이후에 유능해지지 않고서는 인정받기 어렵다는 생각을 했던 것 같습니다. 내가 오늘날 경험의 확장, 다양한 능력의 배양 등을 삶의 중요한 가치로 삼고 있는 것은 이같은 개인 경험에서 기인하는 바가 크다고 생각합니다.    초등학교 시절 첫사랑이자 짝사랑이 있었습니다. 그 아이는 인기가 있었기 때문에 말하자면 저에게는 사랑을 쟁취하기 위해서 극복해야 할 연적들이 적지 않았던 것 같습니다. 그 연적중에 한 친구는 특히 요즘말로 하면 엄친아 같은 존재였습니다. 얼굴도 잘생기고, 공부도 잘하고, 노래와 춤에도 능하면서 운동도 잘하는 그런 친구말입니다. 중고등학교 때까지 이 친구와 같은 학교를 다니면서 나도 저런 다방면에 능통한 매력적인 사람이 되고 싶다고 생각했던 것 같습니다. 말하자면 외골수가 아니라 이것저것 분야를 막론하고 어느 정도 역량을 가진 팔방미인이 제가 추구했던 인간상이었던 것 같습니다. ",3.0
9,10,"저는 막내로 자라면서 이기적이고 다른 사람을 생각할 줄 모르는 사람이었습니다. 엄마가 너무 유순해서 잘못된 부분이 있어도 꾸중이 없었고 그렇지만 언니, 오빠는 다 바르게 자랐으나 유독 저만 고집이 쎄고 저밖에 몰랐습니다. 그러다 보니 중학교때 몇몇 친구에게 왕따를 당했고 그 충격으로 그뒤로는 반대로 친구의 말을 무조건적으로 들어주는 성격으로 바뀌었습니다. 고등학교때까지 있는듯 없는듯 학교생활을 했음에도 불구하고 또 친구들이 저를 왕따 시켰습니다. 지금 생각해보면 너무 바보처럼 행동해서 만만하게 보고 그렇게 한것 같습니다. 그 충격으로 사람들 눈치를 너무 심하게 보게되고 어딜가든 사람들 눈치부터 살피게 되고 눈매가 무섭거나 목소리가 크거나 강한 사람을 보면 공포심이 들면서 머리가 백지장이 되고 사지가 벌벌 떨리는 증상이 생겼습니다. 그 고등학교 시절의 상처가 다시 재현되는 것이죠. 현재 40살이 다 되어가는 나이고 결혼을 하고 자녀가 있음에도 이 상처는 회복되지 않고 아마 앞으로도 평생에 저를 따라 갈것 같습니다. 혼자 마인드 컨트롤 해보고 글을 읽고 해보지만 완전히 회복은 어려운 것 같습니다. 그래서 무슨 일이 터지면 또 나 때문이 아닌가 하는 자책감이 들고 맡은 일은 욕 먹지 않게 철저히 꼼꼼하게 해야 한다는 강박관념이 생기고 그러다보니 근무시간이 장기적으로 되고 그게 악순환이죠. 그때 그 일은 제 잘못이 아니지만 그 친구들이 제게 줬던 아픔은 어떤 방법을 동원해도 회복되지 않습니다. 그러다보니 제 자신은 없어지고 우울하고 절망적이고 죄책감만 남는것 같습니다. ",3.0
