Number,Explore,Meaning,Stable,Change,Growth,Redeem,Contam,Affect,Agency,Commune,Facts,Context,Chrono,fbdiff,pos,neu,neg,compound
1,2,1,0,0,2,1,0,3,1,2,3,3,3,-0.12682,0.1023,0.6639,0.1338,-0.04753
2,3,1,1,1,1,0,0,2,0,1,2,2,2,-0.256333333,0.056714286,0.760714286,0.039857143,0.087857143
3,4,3,1,1,2,0,0,2,2,1,3,2,2,0.303884848,0.042869565,0.750913043,0.162695652,-0.219569565
4,1,1,0,0,1,0,0,2,1,2,1,3,3,0.209066667,0.052333333,0.779166667,0.085166667,-0.14675
5,4,3,1,1,1,1,0,4,2,2,3,2,2,-0.204233333,0.106,0.629166667,0.098166667,-0.042816667
6,1,1,1,1,2,1,0,4,1,1,1,1,1,0.00962381,0.073615385,0.788692308,0.060769231,0.033615385
7,4,3,1,1,3,1,0,1,2,2,3,2,2,-0.290446667,0.027727273,0.754727273,0.126636364,-0.180145455
8,3,3,1,1,1,0,0,2,0,0,2,1,1,-0.549916667,0.067142857,0.735428571,0.054571429,0.103628571
9,1,1,0,0,1,0,0,3,1,2,1,1,2,-0.198205,0.093555556,0.702666667,0.092444444,0.005611111
10,4,3,1,1,3,1,0,4,3,3,3,2,3,-0.103502778,0.096529412,0.770529412,0.074176471,0.074929412
11,1,1,0,0,2,0,0,3,1,2,2,2,2,-0.4251,0.0221,0.7761,0.1019,-0.26719
12,4,2,1,0,1,0,0,3,1,2,3,2,2,-0.375533333,0.061142857,0.695428571,0.100571429,0.002542857
13,1,0,0,0,1,0,0,3,1,1,1,1,0,0.081113333,0.038909091,0.789454545,0.080818182,-0.098336364
14,4,3,1,1,2,0,1,2,0,1,2,2,2,-0.400525,0.01925,0.714,0.14175,-0.3194375
15,2,1,1,0,1,0,0,2,0,2,2,1,2,0.097933333,0.038142857,0.768,0.051,-0.011871429
16,3,3,0,1,3,1,0,3,2,2,2,3,3,-0.08685,0.113666667,0.751555556,0.023666667,0.2659
17,4,2,1,1,3,1,0,4,3,3,3,2,3,-0.303688889,0.124,0.781833333,0.038611111,0.153577778
18,1,1,0,0,1,1,0,3,2,2,2,2,2,-0.0243,0.1301,0.7252,0.0447,0.19093
19,3,2,1,1,2,1,0,4,2,2,2,2,2,0.09185,0.067,0.634,0.208090909,-0.2017
20,4,2,0,1,1,0,0,2,1,1,3,2,2,0.030795238,0.077615385,0.724769231,0.120692308,-0.060784615
21,3,3,1,1,3,1,1,4,3,3,2,2,2,0.025585,0.018666667,0.832111111,0.038111111,-0.031911111
22,2,1,0,1,1,0,0,2,1,1,1,2,2,0.010442857,0.075857143,0.801214286,0.0515,0.01665
23,4,3,1,1,3,1,0,4,3,4,2,2,2,-0.153266667,0.092,0.698166667,0.043166667,0.136233333
24,3,2,0,1,1,1,0,1,1,2,2,2,2,0.3318,0.148428571,0.591571429,0.117285714,0.0804
25,2,2,1,1,2,1,0,3,2,2,2,1,1,-0.003875,0.078375,0.696875,0.09975,-0.0071375
26,3,2,1,1,3,1,0,4,2,3,2,2,2,-0.28116,0.042,0.7864,0.0716,-0.00442
27,4,3,1,1,4,1,0,5,4,3,1,2,2,0.083145,0.009111111,0.714111111,0.165666667,-0.503333333
28,3,3,1,1,2,0,0,2,1,1,1,2,2,0.69234,0.1068,0.6622,0.131,-0.04697
29,2,2,1,1,2,0,0,3,1,2,1,1,1,0.28043,0.094272727,0.699,0.115727273,-0.047618182
30,3,3,1,0,2,0,1,2,1,1,2,2,2,-0.03902,0,0.861,0.039,-0.12485
